Title,Description,Display Prompt,Prompt Text,Products,Department,Task Type,Locale
Market Audience Research,針對明確的市場、受眾、需求、Segment、Persona 或 Journey 問題，整合 Microsoft 365 內部證據與使用者要求的 current public research，產出可追溯的 Market and Audience Evidence Brief。 適用於市場進入、Audience segmentation、Persona、需求探索與。,執行 Market Audience Research，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Market Audience Research」。任務定義：針對明確的市場、受眾、需求、Segment、Persona 或 Journey 問題，整合 Microsoft 365 內部證據與使用者要求的 current public research，產出可追溯的 Market and Audience Evidence Brief。 適用於市場進入、Audience segmentation、Persona、需求探索與。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Marketing Content Creation,依核准的 Audience、Brand、Messaging、Claim、Proof、Channel 與 CTA，研究並撰寫可直接審閱的完整 Marketing content，包括 Blog、Thought leadership、Landing page、Case study、Press release、Newsletter、Executive brief 與。,執行 Marketing Content Creation，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Marketing Content Creation」。任務定義：依核准的 Audience、Brand、Messaging、Claim、Proof、Channel 與 CTA，研究並撰寫可直接審閱的完整 Marketing content，包括 Blog、Thought leadership、Landing page、Case study、Press release、Newsletter、Executive brief 與。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Marketing Experiment Design,設計、檢查與分析 Marketing A/B 或 controlled experiment，涵蓋 Hypothesis、Unit、Randomization、Primary metric、Guardrail、MDE、Alpha、Power、Sample、Duration、SRM、Multiple testing、Confidence interval、Decision 與。,執行 Marketing Experiment Design，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Marketing Experiment Design」。任務定義：設計、檢查與分析 Marketing A/B 或 controlled experiment，涵蓋 Hypothesis、Unit、Randomization、Primary metric、Guardrail、MDE、Alpha、Power、Sample、Duration、SRM、Multiple testing、Confidence interval、Decision 與。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Marketing Operating Rhythm,從 Microsoft 365 中的 Campaign milestones、Calendar、承諾、Planner 工作、Approval、KPI snapshot 與風險，整理今日、每週或 Campaign control-room 的 Marketing priority brief。 適用於「今天先做什麼」「本週 Marketing 重點」「Campaign。,執行 Marketing Operating Rhythm，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Marketing Operating Rhythm」。任務定義：從 Microsoft 365 中的 Campaign milestones、Calendar、承諾、Planner 工作、Approval、KPI snapshot 與風險，整理今日、每週或 Campaign control-room 的 Marketing priority brief。 適用於「今天先做什麼」「本週 Marketing 重點」「Campaign。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Marketing Performance Report,整合 Excel、SharePoint、Campaign files、approved exports 與 Microsoft 365 context，建立具 KPI 定義、Data quality、Period／Target comparison、Funnel／Channel、Budget、Attribution、Trend、Insight、Decision 與來源的。,執行 Marketing Performance Report，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Marketing Performance Report」。任務定義：整合 Excel、SharePoint、Campaign files、approved exports 與 Microsoft 365 context，建立具 KPI 定義、Data quality、Period／Target comparison、Funnel／Channel、Budget、Attribution、Trend、Insight、Decision 與來源的。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Marketing Work Management,在 Microsoft 365 中檢視、建立、更新、指派、重新排程或有限刪除 Marketing work item、Planner task、Campaign／Content／Approval register、Calendar milestone與 internal handoff，具備 runtime schema discovery、identity。,執行 Marketing Work Management，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Marketing Work Management」。任務定義：在 Microsoft 365 中檢視、建立、更新、指派、重新排程或有限刪除 Marketing work item、Planner task、Campaign／Content／Approval register、Calendar milestone與 internal handoff，具備 runtime schema discovery、identity。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Paid Media Creative Plan,規劃 Paid search、Paid social、Display、Video、Sponsored content 與 Retargeting 的 Objective、Audience、Offer、Channel role、Budget scenario、Creative angles、完整 Copy variants、Visual。,執行 Paid Media Creative Plan，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Paid Media Creative Plan」。任務定義：規劃 Paid search、Paid social、Display、Video、Sponsored content 與 Retargeting 的 Objective、Audience、Offer、Channel role、Budget scenario、Creative angles、完整 Copy variants、Visual。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Product Launch Marketing,建立 Product、Feature、Service 或 Market launch 的 Launch tier、Audience、Positioning、Messaging、Proof、Availability、Asset、Channel、Readiness、Embargo、Enablement、Timeline、Risk、Measurement 與 Decision。,執行 Product Launch Marketing，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Product Launch Marketing」。任務定義：建立 Product、Feature、Service 或 Market launch 的 Launch tier、Audience、Positioning、Messaging、Proof、Availability、Asset、Channel、Readiness、Embargo、Enablement、Timeline、Risk、Measurement 與 Decision。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
SEO Content Optimization,依 Website／Content、Search intent、Keyword／query evidence、Audience、Competitor content、Brand 與 Conversion goal，進行 SEO content audit、On-page review、Content gap、Topic cluster、Metadata、Internal。,執行 SEO Content Optimization，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「SEO Content Optimization」。任務定義：依 Website／Content、Search intent、Keyword／query evidence、Audience、Competitor content、Brand 與 Conversion goal，進行 SEO content audit、On-page review、Content gap、Topic cluster、Metadata、Internal。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Voice Of Customer Synthesis,從會議逐字稿、訪談、Forms、Email、Customer notes 與使用者提供的材料中，提取可追溯的 Voice of Customer themes、逐字引言、需求、阻礙與語言模式。 適用於 Message validation、Persona、Content、Campaign 與 Product feedback；不適用於無逐字來源的虛構引言、個人。,執行 Voice Of Customer Synthesis，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Voice Of Customer Synthesis」。任務定義：從會議逐字稿、訪談、Forms、Email、Customer notes 與使用者提供的材料中，提取可追溯的 Voice of Customer themes、逐字引言、需求、阻礙與語言模式。 適用於 Message validation、Persona、Content、Campaign 與 Product feedback；不適用於無逐字來源的虛構引言、個人。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
